entity_id,legal_name,sf_account_id,sf_account_owner,sf_billing_country,sf_sector,chainalysis_client_status,abs_stage
063c9f51bb48,Tangany GmbH,0015w000023ofHlAAI,Lucas Martino,Germany,Private,Active Customer,Active
797726a71bbe,Bankhaus Scheich Wertpapierspezialist AG,0016Q00001X7dbWQAR,Jed Sibley,United States,Private,Customer (status unset),
4c9dd9a111ed,Fiat Republic Netherlands B.V.,0015w00002ZaawmAAB,Paula Burgess,United Kingdom,Private,In Salesforce (no type),
75d7540bb2c2,Decubate B.V.,,,,,Not in Salesforce,
543afff64dee,CECABANK S.A.,0015w00002UszGEAAZ,Christian Menda,Spain,Private,Active Customer,Open
48d313cfd4ec,Finst B.V.,,Success Outreach Team,Netherlands,Private,Prospect,
6a7f975dcb38,OPEN BANK S.A.,0016Q00001Za7ZsQAJ,Paula Burgess,Spain,Private,Active Customer,Open
b797ef64d295,Traders Place GmbH & Co. KGaA,,Chris Velez,,Private,Not in Salesforce,
ad2af533bd78,COINSHARES ASSET MANAGEMENT,0015w00002Wh1NFAAZ,Jed Sibley,United States,Private,In Salesforce (no type),
6ed644c5156d,METAL GEAR SAS,001VM00000hFZvyYAG,Fabien Ribert,France,Private,Active Customer,Open
1684088700a2,Baden-Württembergische Wertpapierbörse GmbH,,Mike Meisels,Australia,Private,Not in Salesforce,
e7814e25a6a7,Coinmotion Oy,,Success Outreach Team,Finland,Private,Active Customer,Active
b5c44dad8d6b,BITSTACK DIGITAL ASSETS SAS,0015w00002TERf2AAH,Fabien Ribert,France,Private,Active Customer,Active
